Level,Name,Salary coefficient,Netto salary (EUR),Palgafond (netto + taxes),Equity plan (shares),Equity staff level coefficient,Company role structure
L1,Intern,0.5,2000,3470,400,0.2,
L2,Junior,0.8,3200,5552,1000,0.5,
L3,Middle,1,4000,6940,2000,1,"ML Engineer (Company%20roles%20d961012e6fc04f329b876179617803d8/ML%20Engineer%203bf624bd41d747908efdd79cc0a8377a.html), Robotics (Mechanical / Electronics) engineer (Company%20roles%20d961012e6fc04f329b876179617803d8/Robotics%20(Mechanical%20Electronics)%20engineer%20a0c764bb1c3942f68fe84ea2441c51b3.html), Fullstack engineer (Company%20roles%20d961012e6fc04f329b876179617803d8/Fullstack%20engineer%201b48c2c875ba4ba187e7506542b60d13.html), PM / Beekeeping community relations (Company%20roles%20d961012e6fc04f329b876179617803d8/PM%20Beekeeping%20community%20relations%20c700bc2c5415415e83cc87a86587f874.html), SRE/DevOps/Infra engineer (Company%20roles%20d961012e6fc04f329b876179617803d8/SRE%20DevOps%20Infra%20engineer%204bb5c134f58d49c7b994521e2c48e324.html), Fullstack engineer (Company%20roles%20d961012e6fc04f329b876179617803d8/Fullstack%20engineer%20be5ce30a2f854b87aa3178955363d9eb.html), PM / QA engineer / Analytics (Company%20roles%20d961012e6fc04f329b876179617803d8/PM%20QA%20engineer%20Analytics%201f2ddb0d78654adab8078898bb17b034.html), Designer (UX / UI / Industrial) (Company%20roles%20d961012e6fc04f329b876179617803d8/Designer%20(UX%20UI%20Industrial)%20454c89d18d7e4eeb822c54d9966bc169.html), Marketing manager (Company%20roles%20d961012e6fc04f329b876179617803d8/Marketing%20manager%20d00406532e82420099e429d9c67b55e8.html), Founder / CEO (Company%20roles%20d961012e6fc04f329b876179617803d8/Founder%20CEO%207a34ba826528485893eb26339aeb98cc.html)"
L4,Senior / Manager,1.2,4800,8328,3000,1.5,
L5,Staff / Lead / Head,1.4,5600,9715,4000,2,
L6,Principal / Director / Group EM,1.8,7200,12491,6000,3,
L7,Fellow / C* / VP,2,8000,13879,8000,4,
